 0.9243,In the beginning God created the heaven and the earth.,A revelation from Him Who created the earth and the heavens on high.
 0.8817,"And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.",To Him belongs the dominion of the heavens and the earth: It is He Who gives Life and Death; and He has Power over all things.
 0.8417,"And God said, Let there be light: and there was light.","They said, ""Even so has thy Lord spoken: and He is full of Wisdom and Knowledge."""
 0.8912,"And God saw the light, that it was good: and God divided the light from the darkness.","And he said, ""Truly do I love the love of good, with a view to the glory of my Lord,""- until (the sun) was hidden in the veil (of night):"
 0.8840,"And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.","It is He Who created the Night and the Day, and the sun and the moon: all (the celestial bodies) swim along, each in its rounded course."
 0.9104,"And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.","And among His Signs is the creation of the heavens and the earth, and the living creatures that He has scattered through them: and He has power to gather them together when He wills."
 0.9153,"And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.","And among His Signs is the creation of the heavens and the earth, and the living creatures that He has scattered through them: and He has power to gather them together when He wills."
 0.9094,And God called the firmament Heaven. And the evening and the morning were the second day.,"So He completed them as seven firmaments in two Days, and He assigned to each heaven its duty and command. And We adorned the lower heaven with lights, and (provided it) with guard. Such is the Decree of (Him) the Exalted in Might, Full of Knowledge."
 0.9300,"And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.","Then the word went forth: ""O earth! swallow up thy water, and O sky! Withhold (thy rain)!"" and the water abated, and the matter was ended. The Ark rested on Mount Judi, and the word went forth: ""Away with those who do wrong!"""
 0.9339,And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.,"And among His Signs is the creation of the heavens and the earth, and the living creatures that He has scattered through them: and He has power to gather them together when He wills."
 0.9412,"And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.","A Sign for them is the earth that is dead: We do give it life, and produce grain therefrom, of which ye do eat."
 0.9316,"And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good.","And it is He who spread out the earth, and set thereon mountains standing firm and (flowing) rivers: and fruit of every kind He made in pairs, two and two: He draweth the night as a veil o'er the Day. Behold, verily in these things there are signs for those who consider!"
 0.8971,And the evening and the morning were the third day.,"And made the night as a covering,"
 0.9346,"And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:","And it is He who spread out the earth, and set thereon mountains standing firm and (flowing) rivers: and fruit of every kind He made in pairs, two and two: He draweth the night as a veil o'er the Day. Behold, verily in these things there are signs for those who consider!"
 0.9434,And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.,"Blessed is He Who made constellations in the skies, and placed therein a Lamp and a Moon giving light;"
 0.9234,"And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.","It is He Who created the Night and the Day, and the sun and the moon: all (the celestial bodies) swim along, each in its rounded course."
